Station,Date,NO2_Mean,Traffic_Count,Temp,Precip,Wind_Gust,Wind_Dir
Sault Ste. Marie,2022-02-02,3.5666666666666664,45,-6.3,0.6,42.0,300.0
Sault Ste. Marie,2022-02-03,3.6625,3,-17.0,0.7,43.24666194306738,226.49355266065302
Sault Ste. Marie,2022-02-04,9.591666666666667,0,-21.6,0.0,42.91629332972856,268.70015700026704
Sault Ste. Marie,2022-02-05,4.945833333333334,0,-16.6,1.2,34.0,120.0
Sault Ste. Marie,2022-02-06,7.25,23,-5.8,4.9,42.343008894545335,248.59902503555574
Sault Ste. Marie,2022-02-07,8.770833333333334,22,-4.9,0.5,40.29408832964891,263.4433670934387
Sault Ste. Marie,2022-02-08,7.416666666666667,16,-8.4,0.1,40.95650263792591,254.04891253991718
Sault Ste. Marie,2022-02-09,8.120833333333332,31,-2.3,4.8,41.56232347285527,255.0445242182269
Sault Ste. Marie,2022-02-10,6.329166666666667,40,-3.8,0.8,42.0,290.0
Sault Ste. Marie,2022-02-11,5.591666666666666,30,-7.8,3.5,36.0,290.0
Sault Ste. Marie,2022-02-12,4.2875000000000005,0,-22.3,0.0,43.82011320617573,231.2331722093156
Sault Ste. Marie,2022-02-13,7.545833333333333,0,-20.6,0.0,43.04189177312197,254.32478581733648
Sault Ste. Marie,2022-02-14,10.895833333333334,0,-18.5,2.2,43.01342535149111,276.0570777120586
Sault Ste. Marie,2022-02-15,6.829166666666667,0,-16.3,0.6,38.0,120.0
Sault Ste. Marie,2022-02-16,7.095833333333334,17,-1.2,1.9,35.0,140.0
Sault Ste. Marie,2022-02-17,3.7458333333333336,41,-9.6,0.0,37.0,340.0
Sault Ste. Marie,2022-02-18,3.7791666666666663,0,-18.5,2.9,47.0,100.0
Sault Ste. Marie,2022-02-19,5.466666666666666,10,-12.5,1.1,42.342399097725625,239.12277831291817
Sault Ste. Marie,2022-02-20,4.720833333333334,35,-4.5,3.2,42.0,240.0
Sault Ste. Marie,2022-02-21,1.2166666666666666,0,-12.2,0.6,37.0,80.0
Sault Ste. Marie,2022-02-22,1.6541666666666668,0,-13.3,5.9,34.0,80.0
Sault Ste. Marie,2022-02-23,6.208333333333333,0,-20.1,0.1,43.18889115568362,244.8251867204064
Sault Ste. Marie,2022-02-24,8.391666666666666,0,-17.4,0.0,42.355452146356704,260.4837222993148
Sault Ste. Marie,2022-02-25,7.008333333333334,3,-13.8,0.0,41.92696065752165,250.93792904505767
Sault Ste. Marie,2022-02-26,9.979166666666668,0,-12.4,0.0,43.0,230.0
Sault Ste. Marie,2022-02-27,5.8875,29,-8.0,0.7,47.0,280.0
Sault Ste. Marie,2022-02-28,4.804166666666666,9,-13.4,2.1,42.97683192420154,233.47189956932903
Sault Ste. Marie,2022-03-01,5.2,48,-4.9,0.4,36.0,340.0
Sault Ste. Marie,2022-03-02,8.129166666666665,29,-7.8,0.3,38.0,340.0
Sault Ste. Marie,2022-03-03,13.895833333333334,0,-15.8,0.0,41.264149540538796,299.41555867469754
Sault Ste. Marie,2022-03-04,12.470833333333333,0,-13.6,0.0,41.08762911938623,289.492257985993
Sault Ste. Marie,2022-03-05,3.5833333333333335,25,-3.8,6.7,52.0,130.0
Sault Ste. Marie,2022-03-06,3.3416666666666663,58,-0.5,10.8,44.0,280.0
Sault Ste. Marie,2022-03-07,4.654166666666667,50,-4.1,0.0,39.0,320.0
Sault Ste. Marie,2022-03-08,7.670833333333334,21,-4.4,0.0,41.0,220.0
Sault Ste. Marie,2022-03-09,6.75,37,-4.4,0.2,35.0,300.0
Sault Ste. Marie,2022-03-10,6.1125,10,-12.2,0.0,41.777892712778424,244.71253913554622
Sault Ste. Marie,2022-03-11,4.120833333333334,16,-11.3,2.9,44.0,220.0
Sault Ste. Marie,2022-03-12,3.7916666666666665,33,-14.1,2.5,54.0,350.0
Sault Ste. Marie,2022-03-13,5.822727272727272,12,-11.8,0.0,31.0,260.0
Sault Ste. Marie,2022-03-14,12.524999999999999,4,-7.9,0.0,40.07874780106217,290.2144737180522
