Station,Date,NO2_Mean,Traffic_Count,Temp,Precip,Wind_Gust,Wind_Dir
Toronto Downtown,2022-02-02,17.270833333333332,327,1.1,9.6,50.0,320.0
Toronto Downtown,2022-02-03,14.404166666666667,320,-5.4,1.0,48.0,320.0
Toronto Downtown,2022-02-04,21.07916666666667,269,-10.2,0.2,42.0,40.0
Toronto Downtown,2022-02-05,15.370833333333335,161,-9.9,0.0,37.0,310.0
Toronto Downtown,2022-02-06,10.116666666666667,98,-2.9,0.0,54.0,200.0
Toronto Downtown,2022-02-07,16.5625,151,1.0,0.0,41.0,230.0
Toronto Downtown,2022-02-08,18.145833333333332,188,-1.7,0.0,48.0,280.0
Toronto Downtown,2022-02-09,14.416666666666666,129,0.6,0.0,41.0,200.0
Toronto Downtown,2022-02-10,14.925000000000002,217,1.5,0.0,61.0,290.0
Toronto Downtown,2022-02-11,12.545833333333334,174,1.9,2.5,52.0,220.0
Toronto Downtown,2022-02-12,10.562499999999998,169,-4.8,0.2,63.0,310.0
Toronto Downtown,2022-02-13,16.675,142,-11.5,0.0,32.0,30.0
Toronto Downtown,2022-02-14,21.40416666666667,198,-11.4,0.0,42.0,300.0
Toronto Downtown,2022-02-15,20.708333333333336,250,-5.7,0.0,46.0,280.0
Toronto Downtown,2022-02-16,11.345833333333331,214,2.2,0.0,48.0,220.0
Toronto Downtown,2022-02-17,15.237500000000002,164,2.3,34.3,52.0,320.0
Toronto Downtown,2022-02-18,13.5,175,-6.0,1.0,76.0,220.0
Toronto Downtown,2022-02-19,9.795833333333334,186,-4.3,0.0,87.0,310.0
Toronto Downtown,2022-02-20,9.258333333333333,127,-1.0,0.0,63.0,210.0
Toronto Downtown,2022-02-21,13.3125,102,2.4,0.0,65.0,60.0
Toronto Downtown,2022-02-22,21.733333333333334,134,3.2,8.9,58.0,60.0
Toronto Downtown,2022-02-23,11.5875,201,-0.2,0.0,74.0,280.0
Toronto Downtown,2022-02-24,17.712500000000002,181,-7.0,0.0,71.0,50.0
Toronto Downtown,2022-02-25,17.329166666666666,199,-7.1,0.6,68.0,50.0
Toronto Downtown,2022-02-26,19.933333333333334,205,-5.6,0.0,58.0,240.0
Toronto Downtown,2022-02-27,11.245833333333332,138,-2.7,0.0,67.0,290.0
Toronto Downtown,2022-02-28,16.556521739130435,152,-6.2,0.0,46.0,60.0
Toronto Downtown,2022-03-01,21.96666666666667,248,1.4,0.0,50.0,80.0
Toronto Downtown,2022-03-02,19.154166666666665,219,0.1,0.2,71.0,320.0
Toronto Downtown,2022-03-03,15.924999999999999,200,-6.2,0.0,63.0,320.0
Toronto Downtown,2022-03-04,23.22083333333333,206,-2.9,0.0,46.0,280.0
Toronto Downtown,2022-03-05,17.566666666666666,282,0.0,0.0,63.0,60.0
Toronto Downtown,2022-03-06,11.0,114,8.9,2.3,78.0,280.0
Toronto Downtown,2022-03-07,15.5,155,1.7,4.0,55.0,300.0
Toronto Downtown,2022-03-08,16.025000000000002,225,0.6,0.0,42.0,300.0
Toronto Downtown,2022-03-09,14.920833333333334,107,1.8,0.0,41.0,230.0
Toronto Downtown,2022-03-10,18.941666666666666,340,1.1,0.0,39.0,330.0
Toronto Downtown,2022-03-11,20.42083333333333,317,-1.1,2.9,46.0,300.0
Toronto Downtown,2022-03-12,11.333333333333334,287,-4.9,0.0,80.0,310.0
Toronto Downtown,2022-03-13,11.259090909090908,296,-3.9,0.0,58.0,210.0
Toronto Downtown,2022-03-14,30.462500000000006,312,0.8,0.0,38.04872567596104,122.32450905446737
Toronto Downtown,2022-03-15,27.45416666666667,308,1.8,9.1,33.0,40.0
Toronto Downtown,2022-03-16,18.866666666666664,316,0.9,0.0,35.0,40.0
Toronto Downtown,2022-03-17,34.37083333333333,337,5.2,0.0,32.15297857608844,98.92635373834068
Toronto Downtown,2022-03-18,34.708333333333336,337,7.6,0.0,55.0,50.0
Toronto Downtown,2022-03-19,11.737500000000002,338,5.3,6.3,50.0,60.0
Toronto Downtown,2022-03-20,8.408333333333333,378,7.7,0.4,59.0,320.0
Toronto Downtown,2022-03-21,18.683333333333334,371,7.9,0.0,59.0,310.0
Toronto Downtown,2022-03-22,16.3875,323,2.3,0.0,45.0,50.0
Toronto Downtown,2022-03-23,10.3,295,2.6,19.9,84.0,60.0
Toronto Downtown,2022-03-24,12.125,344,5.6,0.0,50.0,50.0
Toronto Downtown,2022-03-25,12.616666666666665,357,4.2,0.0,48.0,300.0
Toronto Downtown,2022-03-26,10.6375,348,3.6,1.0,61.0,300.0
Toronto Downtown,2022-03-27,7.633333333333333,299,-3.7,0.2,76.0,310.0
Toronto Downtown,2022-03-28,13.841666666666669,278,-7.1,0.0,68.0,310.0
Toronto Downtown,2022-03-29,20.083333333333332,315,-2.3,0.0,42.0,310.0
Toronto Downtown,2022-03-30,18.787499999999998,306,1.5,2.2,65.0,70.0
Toronto Downtown,2022-03-31,11.475000000000001,369,8.2,0.4,61.0,220.0
Toronto Downtown,2022-04-01,14.154166666666667,334,1.8,0.6,63.0,310.0
Toronto Downtown,2022-04-02,14.654166666666669,332,2.0,0.0,51.20785443267088,205.28469500030732
Toronto Downtown,2022-04-03,13.1875,354,4.3,0.0,58.0,320.0
Toronto Downtown,2022-04-04,19.604166666666668,356,3.5,0.0,35.0,330.0
Toronto Downtown,2022-04-05,14.125,343,6.9,1.0,65.0,50.0
Toronto Downtown,2022-04-06,14.491666666666667,345,8.0,5.5,65.0,50.0
