Station,Date,NO2_Mean,Traffic_Count,Temp,Precip,Wind_Gust,Wind_Dir
Toronto West,2022-02-02,18.900000000000002,175,0.8,11.4,47.0,350.0
Toronto West,2022-02-03,12.15,60,-6.8,4.2,44.0,350.0
Toronto West,2022-02-04,18.05,107,-12.3,0.4,37.0,10.0
Toronto West,2022-02-05,14.829166666666666,77,-11.3,0.0,49.989615202753,243.84287095017652
Toronto West,2022-02-06,7.7375,85,-3.7,0.0,46.0,200.0
Toronto West,2022-02-07,17.182608695652174,24,7.206573309606519,0.5541058668509129,36.0,260.0
Toronto West,2022-02-08,19.879166666666666,43,-3.0,0.0,42.0,250.0
Toronto West,2022-02-09,14.737499999999999,52,0.3,0.0,46.0,220.0
Toronto West,2022-02-10,13.345833333333333,47,1.0,0.0,48.0,270.0
Toronto West,2022-02-11,9.804166666666665,62,1.1,5.0,48.0,210.0
Toronto West,2022-02-12,6.991666666666667,73,-5.5,1.8,60.0,280.0
Toronto West,2022-02-13,11.770833333333334,59,-12.9,0.2,52.44677747230158,241.22880111388784
Toronto West,2022-02-14,16.97391304347826,35,-13.1,0.0,35.0,290.0
Toronto West,2022-02-15,16.445833333333336,46,-7.3,0.0,40.0,240.0
Toronto West,2022-02-16,9.737499999999999,107,3.5,0.2,71.0,210.0
Toronto West,2022-02-17,15.245833333333335,102,1.0,36.2,58.0,340.0
Toronto West,2022-02-18,8.316666666666668,78,-7.7,5.0,56.0,210.0
Toronto West,2022-02-19,7.099999999999999,62,-6.7,4.2,83.0,310.0
Toronto West,2022-02-20,7.645833333333333,34,-1.3,0.0,65.0,240.0
Toronto West,2022-02-21,10.93478260869565,31,2.8,0.0,37.0,100.0
Toronto West,2022-02-22,19.229166666666668,64,4.2,9.4,67.0,260.0
Toronto West,2022-02-23,10.258333333333333,74,5.059509735711661,0.0,68.0,290.0
Toronto West,2022-02-24,16.325,85,-8.4,0.0,38.0,60.0
Toronto West,2022-02-25,15.379166666666668,67,-9.2,4.2,51.0,10.0
Toronto West,2022-02-26,17.037499999999998,66,-7.8,0.0,52.0,250.0
Toronto West,2022-02-27,8.383333333333333,60,-3.8,0.4,62.0,310.0
Toronto West,2022-02-28,14.865217391304347,1,-8.8,0.0,34.0,110.0
Toronto West,2022-03-01,16.9875,88,0.7,0.0,43.0,300.0
Toronto West,2022-03-02,17.3875,88,-1.0,0.8,67.0,310.0
Toronto West,2022-03-03,13.468181818181817,88,-7.5,0.0,67.0,330.0
Toronto West,2022-03-04,28.27777777777778,75,-4.8,0.0,46.0,270.0
Toronto West,2022-03-05,19.029166666666665,97,-0.3,0.0,39.0,100.0
Toronto West,2022-03-06,14.545833333333334,72,7.9,2.2,87.0,240.0
Toronto West,2022-03-07,15.778260869565216,80,0.5,5.6,58.0,300.0
Toronto West,2022-03-08,13.116666666666667,76,-0.8,0.4,39.0,300.0
Toronto West,2022-03-09,18.808333333333334,100,1.3,0.0,34.0,260.0
Toronto West,2022-03-10,18.070833333333333,104,0.4,0.0,44.60740114483727,244.9280055134476
Toronto West,2022-03-11,17.291666666666668,62,-2.1,4.8,37.0,290.0
Toronto West,2022-03-12,6.404166666666666,80,-6.2,0.2,69.0,290.0
Toronto West,2022-03-13,9.404545454545454,66,-5.4,0.8,48.0,210.0
Toronto West,2022-03-14,24.617391304347827,47,0.9,0.0,33.0,340.0
Toronto West,2022-03-15,27.74166666666667,49,0.9,10.6,40.615752219301555,234.59508005921452
Toronto West,2022-03-16,15.679166666666667,62,0.7,0.0,46.03652008531661,241.18220077775155
Toronto West,2022-03-17,27.891666666666666,67,8.5,0.0,35.96467262635074,246.61404949266048
Toronto West,2022-03-18,22.745833333333334,94,10.0,0.0,38.87249582166413,245.0791418060286
Toronto West,2022-03-19,9.408333333333333,131,6.3,5.6,54.0,270.0
Toronto West,2022-03-20,7.391666666666667,114,6.4,0.6,55.0,300.0
