Date,Traffic_Count
2022-04-26,503.0
2022-04-27,366.0
2022-04-28,352.0
2022-04-29,288.0
2022-04-30,129.0
2022-05-01,167.0
2022-05-02,320.0
2022-05-03,325.0
2022-05-04,264.0
2022-05-05,246.0
2022-05-06,314.0
2022-05-07,263.0
2022-05-08,244.0
2022-05-09,342.0
2022-05-10,488.0
2022-05-11,394.0
2022-05-12,370.0
2022-05-13,310.0
2022-05-14,196.0
2022-05-15,177.0
2022-05-16,324.0
2022-05-17,314.0
2022-05-18,222.0
2022-05-19,332.0
2022-05-20,293.0
2022-05-21,269.0
2022-05-22,295.0
2022-05-23,320.0
2022-05-24,346.0
2022-05-25,371.0
2022-05-26,317.0
2022-05-27,277.0
2022-05-28,248.0
2022-05-29,204.0
2022-05-30,395.0
2022-05-31,351.0
2022-06-01,345.0
2022-06-02,355.0
2022-06-03,356.0
2022-06-04,244.0
2022-06-05,172.0
2022-06-06,350.0
2022-06-07,236.0
2022-06-08,289.0
2022-06-09,281.0
2022-06-10,312.0
2022-06-11,214.0
2022-06-12,182.0
2022-06-13,325.0
2022-06-14,429.0
2022-06-15,495.0
2022-06-16,423.0
2022-06-17,387.0
2022-06-18,222.0
2022-06-19,166.0
2022-06-20,345.0
2022-06-21,335.0
2022-06-22,441.0
2022-06-23,356.0
2022-06-24,373.0
2022-06-25,225.0
2022-06-26,260.0
2022-06-27,346.0
2022-06-28,315.0
2022-06-29,325.0
2022-06-30,333.0
2022-07-01,163.0
2022-07-02,222.0
2022-07-03,280.0
2022-07-04,338.0
2022-07-05,397.0
2022-07-06,273.0
2022-07-07,280.0
2022-07-08,8.0
2022-07-09,306.0
2022-07-10,231.0
2022-07-11,318.0
2022-07-12,180.0
2022-07-13,428.0
2022-07-14,308.0
2022-07-15,287.0
2022-07-16,232.0
2022-07-17,125.0
2022-07-18,234.0
2022-07-19,208.0
2022-07-20,362.0
2022-07-21,338.0
2022-07-22,298.0
2022-07-23,194.0
2022-07-24,186.0
2022-07-25,365.0
2022-07-26,257.0
2022-07-27,112.0
2022-07-28,381.0
2022-07-29,317.0
2022-07-30,240.0
2022-07-31,225.0
2022-08-01,199.0
2022-08-02,236.0
2022-08-03,373.0
2022-08-04,302.0
2022-08-05,344.0
2022-08-06,236.0
2022-08-07,174.0
2022-08-08,383.0
2022-08-09,265.0
2022-08-10,255.0
2022-08-11,278.0
2022-08-12,198.0
2022-08-13,145.0
2022-08-14,130.0
2022-08-15,294.0
2022-08-16,306.0
2022-08-17,403.0
2022-08-18,308.0
2022-08-19,306.0
2022-08-20,420.0
2022-08-21,278.0
2022-08-22,313.0
2022-08-23,255.0
2022-08-24,286.0
2022-08-25,315.0
2022-08-26,238.0
2022-08-27,200.0
2022-08-28,152.0
2022-08-29,104.0
2022-08-30,246.0
2022-08-31,302.0
2022-09-01,289.0
2022-09-02,332.0
2022-09-03,212.0
2022-09-04,112.0
2022-09-05,140.0
2022-09-06,282.0
2022-09-07,364.0
2022-09-08,324.0
2022-09-09,312.0
2022-09-10,251.0
2022-09-11,172.0
2022-09-12,271.0
2022-09-13,282.0
2022-09-14,329.0
2022-09-15,180.0
2022-09-16,253.0
2022-09-17,261.0
2022-09-18,120.0
2022-09-19,200.0
2022-09-20,316.0
2022-09-21,241.0
2022-09-22,204.0
2022-09-23,212.0
2022-09-24,170.0
2022-09-25,302.0
2022-09-26,215.0
2022-09-27,267.0
2022-09-28,309.0
2022-09-29,279.0
2022-09-30,177.0
2022-10-01,106.0
2022-10-02,66.0
2022-10-03,119.0
2022-10-04,233.0
2022-10-05,222.0
2022-10-06,272.0
2022-10-07,256.0
2022-10-08,189.0
2022-10-09,161.0
2022-10-10,148.0
2022-10-11,204.0
2022-10-12,219.0
2022-10-13,196.0
2022-10-14,155.0
2022-10-15,190.0
2022-10-16,149.0
2022-10-17,181.0
2022-10-18,262.0
2022-10-19,239.0
2022-10-20,288.0
2022-10-21,188.0
2022-10-22,183.0
2022-10-23,171.0
2022-10-24,160.0
2022-10-25,246.0
2022-10-26,277.0
2022-10-27,149.0
2022-10-28,190.0
2022-10-29,138.0
2022-10-30,151.0
2022-10-31,307.0
2022-11-01,211.0
2022-11-02,192.0
2022-11-03,127.0
2022-11-04,156.0
2022-11-05,209.0
2022-11-06,188.0
2022-11-07,168.0
2022-11-08,147.0
2022-11-09,126.0
2022-11-10,105.0
2022-11-11,219.0
