Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station ID
-82.31,43.0,Sarnia,6127510,2022-01-01,2022,1,1,,4.5,,-2.1,,1.2,,16.8,,0.0,,,,,,0.0,,,,8.0,,58.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-02,2022,1,2,,-1.6,,-6.4,,-4.0,,22.0,,0.0,,,,,,0.0,,,,1.0,,58.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-03,2022,1,3,,-3.5,,-10.3,,-6.9,,24.9,,0.0,,,,,,0.0,,,,32.0,,37.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-04,2022,1,4,,1.5,,-7.1,,-2.8,,20.8,,0.0,,,,,,0.0,,,,20.0,,41.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-05,2022,1,5,,2.8,,-9.0,,-3.1,,21.1,,0.0,,,,,,0.0,,,,25.0,,67.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-06,2022,1,6,,-4.4,,-8.8,,-6.6,,24.6,,0.0,,,,,,0.0,,,,22.0,,42.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-07,2022,1,7,,-8.0,,-15.5,,-11.8,,29.8,,0.0,,,,,,0.0,,,,31.0,,41.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-08,2022,1,8,,0.5,,-15.6,,-7.6,,25.6,,0.0,,,,,,0.0,,,,19.0,,50.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-09,2022,1,9,,2.3,,-10.4,,-4.1,,22.1,,0.0,,,,,,0.0,,,,29.0,,59.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-10,2022,1,10,,-7.8,,-12.6,,-10.2,,28.2,,0.0,,,,,,0.0,,,,29.0,,50.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-11,2022,1,11,,-2.1,,-14.4,,-8.3,,26.3,,0.0,,,,,,0.0,,,,20.0,,68.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-12,2022,1,12,,2.1,,-2.3,,-0.1,,18.1,,0.0,,,,,,0.0,,,,22.0,,45.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-13,2022,1,13,,0.7,,-2.9,,-1.1,,19.1,,0.0,,,,,,0.2,,,,,M,,M,48373
-82.31,43.0,Sarnia,6127510,2022-01-14,2022,1,14,,-0.4,,-13.9,,-7.2,,25.2,,0.0,,,,,,0.0,,,,3.0,,58.0,,48373
-82.31,43.0,Sarnia,6127510,2022-01-15,2022,1,15,,-10.5,,-17.4,,-14.0,,32.0,,0.0,,,,,,0.0,,,,,M,,M,48373
