Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station ID
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-01,2022,1,1,,-4.3,,-14.2,,-9.3,,27.3,,0.0,,,,,,0.3,,9.0,,1.0,,32.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-02,2022,1,2,,-8.0,,-17.0,,-12.5,,30.5,,0.0,,,,,,0.6,,7.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-03,2022,1,3,,-1.9,,-18.8,,-10.4,,28.4,,0.0,,,,,,0.0,,9.0,,19.0,,38.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-04,2022,1,4,,-1.4,,-5.1,,-3.2,,21.2,,0.0,,,,,,0.0,,7.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-05,2022,1,5,,-1.5,,-14.1,,-7.8,,25.8,,0.0,,,,,,0.8,,6.0,,5.0,,41.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-06,2022,1,6,,-14.1,,-21.9,,-18.0,,36.0,,0.0,,,,,,0.0,,14.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-07,2022,1,7,,-11.0,,-26.6,,-18.8,,36.8,,0.0,,,,,,0.0,,13.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-08,2022,1,8,,-2.7,,-14.9,,-8.8,,26.8,,0.0,,,,,,0.2,,12.0,,18.0,,45.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-09,2022,1,9,,-2.3,,-12.4,,-7.3,,25.3,,0.0,,,,,,2.0,,10.0,,27.0,,60.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-10,2022,1,10,,-10.6,,-21.3,,-16.0,,34.0,,0.0,,,,,,6.8,,12.0,,30.0,,48.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-11,2022,1,11,,-5.9,,-22.5,,-14.2,,32.2,,0.0,,,,,,0.0,,16.0,,13.0,,34.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-12,2022,1,12,,-3.3,,-9.8,,-6.5,,24.5,,0.0,,,,,,0.0,,15.0,,33.0,,48.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-13,2022,1,13,,-3.1,,-17.9,,-10.5,,28.5,,0.0,,,,,,0.1,,13.0,,30.0,,34.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-14,2022,1,14,,-17.3,,-28.0,,-22.6,,40.6,,0.0,,,,,,0.0,,14.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-15,2022,1,15,,-18.0,,-31.1,,-24.6,,42.6,,0.0,,,,,,0.0,,14.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-16,2022,1,16,,-5.2,,-22.0,,-13.6,,31.6,,0.0,,,,,,1.0,,14.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-17,2022,1,17,,-2.9,,-10.2,,-6.6,,24.6,,0.0,,,,,,0.1,,16.0,,34.0,,39.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-18,2022,1,18,,-7.4,,-12.8,,-10.1,,28.1,,0.0,,,,,,5.2,,16.0,,11.0,,51.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-19,2022,1,19,,-0.3,,-19.0,,-9.6,,27.6,,0.0,,,,,,1.6,,24.0,,30.0,,57.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-20,2022,1,20,,-13.4,,-21.4,,-17.4,,35.4,,0.0,,,,,,0.0,,16.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-21,2022,1,21,,-6.4,,-14.3,,-10.3,,28.3,,0.0,,,,,,0.0,,15.0,,18.0,,41.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-22,2022,1,22,,-5.9,,-14.7,,-10.3,,28.3,,0.0,,,,,,3.3,,16.0,,30.0,,61.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-23,2022,1,23,,-9.0,,-18.0,,-13.5,,31.5,,0.0,,,,,,0.4,,18.0,,25.0,,36.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-24,2022,1,24,,-7.6,,-19.0,,-13.3,,31.3,,0.0,,,,,,0.8,,19.0,,33.0,,35.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-25,2022,1,25,,-14.8,,-26.7,,-20.8,,38.8,,0.0,,,,,,1.1,,20.0,,,,,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-26,2022,1,26,,-8.2,,-25.0,,-16.6,,34.6,,0.0,,,,,,0.0,,22.0,,19.0,,45.0,,54838
-84.52,46.48,Sault_Ste_Maria,6057593,2022-01-27,2022,1,27,,-4.8,,-19.7,,-12.2,,30.2,,0.0,,,,,,3.8,,20.0,,24.0,,47.0,,54838
