Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station ID
-89.32,48.37,Thunder_Bay,6048260,2022-01-01,2022,1,1,,-17.2,,-28.1,,-22.7,,40.7,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-02,2022,1,2,,-17.1,,-31.4,,-24.3,,42.3,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-03,2022,1,3,,-10.1,,-26.6,,-18.4,,36.4,,0.0,,,,,,0.0,,,,29.0,,35.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-04,2022,1,4,,-9.3,,-24.4,,-16.9,,34.9,,0.0,,,,,,0.2,,,,7.0,,41.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-05,2022,1,5,,-13.3,,-22.4,,-17.9,,35.9,,0.0,,,,,,0.5,,,,2.0,,39.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-06,2022,1,6,,-15.5,,-25.6,,-20.6,,38.6,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-07,2022,1,7,,-15.0,,-29.3,,-22.2,,40.2,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-08,2022,1,8,,-4.2,,-14.7,,-9.5,,27.5,,0.0,,,,,,0.7,,,,28.0,,67.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-09,2022,1,9,,-11.9,,-24.2,,-18.1,,36.1,,0.0,,,,,,0.0,,,,30.0,,63.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-10,2022,1,10,,-21.5,,-29.7,,-25.6,,43.6,,0.0,,,,,,0.0,,,,30.0,,41.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-11,2022,1,11,,-7.8,,-29.3,,-18.6,,36.6,,0.0,,,,,,0.3,,,,31.0,,39.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-12,2022,1,12,,-8.2,,-16.3,,-12.3,,30.3,,0.0,,,,,,0.0,,,,30.0,,41.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-13,2022,1,13,,-7.4,,-24.3,,-15.9,,33.9,,0.0,,,,,,0.0,,,,34.0,,41.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-14,2022,1,14,,-18.1,,-31.7,,-24.9,,42.9,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-15,2022,1,15,,-6.7,,-31.6,,-19.2,,37.2,,0.0,,,,,,0.0,,,,24.0,,35.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-16,2022,1,16,,-5.8,,-8.5,,-7.2,,25.2,,0.0,,,,,,1.0,,,,22.0,,41.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-17,2022,1,17,,-5.2,,-22.4,,-13.8,,31.8,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-18,2022,1,18,,-2.7,,-26.0,,-14.4,,32.4,,0.0,,,,,,5.1,,,,11.0,,48.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-19,2022,1,19,,-14.1,,-24.3,,-19.2,,37.2,,0.0,,,,,,0.0,,,,32.0,,52.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-20,2022,1,20,,-16.4,,-29.9,,-23.2,,41.2,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-21,2022,1,21,,-5.7,,-31.2,,-18.5,,36.5,,0.0,,,,,,0.0,,,,22.0,,58.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-22,2022,1,22,,-7.5,,-22.9,,-15.2,,33.2,,0.0,,,,,,0.0,,,,30.0,,61.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-23,2022,1,23,,-15.9,,-26.4,,-21.2,,39.2,,0.0,,,,,,0.0,,,,28.0,,42.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-24,2022,1,24,,-16.0,,-27.2,,-21.6,,39.6,,0.0,,,,,,0.0,,,,29.0,,35.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-25,2022,1,25,,-19.4,,-32.3,,-25.9,,43.9,,0.0,,,,,,0.0,,,,29.0,,33.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-26,2022,1,26,,-7.2,,-35.3,,-21.3,,39.3,,0.0,,,,,,0.0,,,,25.0,,50.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-27,2022,1,27,,-5.1,,-22.7,,-13.9,,31.9,,0.0,,,,,,0.0,,,,32.0,,52.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-28,2022,1,28,,-11.7,,-26.7,,-19.2,,37.2,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-29,2022,1,29,,-9.7,,-29.1,,-19.4,,37.4,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-30,2022,1,30,,-10.8,,-23.5,,-17.2,,35.2,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-01-31,2022,1,31,,0.1,,-14.2,,-7.1,,25.1,,0.0,,,,,,0.0,,,,21.0,,37.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-01,2022,2,1,,0.5,,-15.7,,-7.6,,25.6,,0.0,,,,,,0.0,,,,28.0,,67.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-02,2022,2,2,,-15.6,,-23.8,,-19.7,,37.7,,0.0,,,,,,0.0,,,,31.0,,41.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-03,2022,2,3,,-14.8,,-30.0,,-22.4,,40.4,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-04,2022,2,4,,-10.3,,-27.9,,-19.1,,37.1,,0.0,,,,,,0.7,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-05,2022,2,5,,-7.8,,-29.1,,-18.5,,36.5,,0.0,,,,,,1.3,,,,13.0,,35.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-06,2022,2,6,,-8.9,,-17.7,,-13.3,,31.3,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-07,2022,2,7,,-9.3,,-27.9,,-18.6,,36.6,,0.0,,,,,,0.0,,,,,M,,M,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-08,2022,2,8,,-2.2,,-16.4,,-9.3,,27.3,,0.0,,,,,,0.2,,,,12.0,,33.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-09,2022,2,9,,-2.1,,-11.6,,-6.9,,24.9,,0.0,,,,,,0.9,,,,32.0,,50.0,,49389
-89.32,48.37,Thunder_Bay,6048260,2022-02-10,2022,2,10,,-2.8,,-20.9,,-11.9,,29.9,,0.0,,,,,,1.2,,,,31.0,,45.0,,49389
