Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Station ID
-79.47,43.78,Toronto_York_North,615S001,2022-01-01,2022,1,1,†,4.0,,1.0,,2.5,,15.5,,0.0,,0.0,,3.0,,3.0,,0.0,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-02,2022,1,2,†,-6.0,,-8.0,,-7.0,,25.0,,0.0,,0.0,,1.0,,1.0,,3.0,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-03,2022,1,3,†,-4.0,,-16.5,,-10.3,,28.3,,0.0,,0.0,,0.0,,0.0,,4.0,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-04,2022,1,4,†,4.0,,-10.0,,-3.0,,21.0,,0.0,,0.0,T,0.0,T,0.0,T,3.0,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-05,2022,1,5,†,3.5,,-3.5,,0.0,,18.0,,0.0,,1.2,,0.0,T,1.2,,2.0,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-06,2022,1,6,†,-3.0,,-7.5,,-5.3,,23.3,,0.0,,0.0,,0.2,,0.2,,0.0,T,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-07,2022,1,7,†,-7.0,,-13.0,,-10.0,,28.0,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-08,2022,1,8,†,2.5,,-16.0,,-6.8,,24.8,,0.0,,0.0,T,0.0,,0.0,T,0.0,T,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-09,2022,1,9,†,3.5,,-4.5,,-0.5,,18.5,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-10,2022,1,10,†,-9.0,,-10.0,,-9.5,,27.5,,0.0,,0.0,,0.0,T,0.0,,0.0,T,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-11,2022,1,11,,,,,,,,,,,,,,,,,,,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-12,2022,1,12,,,,,,,,,,,,,,,,,,,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-13,2022,1,13,,,,,,,,,,,,,,,,,,,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-14,2022,1,14,†,-7.5,,-12.5,,-10.0,,28.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,26953
-79.47,43.78,Toronto_York_North,615S001,2022-01-15,2022,1,15,†,-12.5,,-22.0,,-17.3,,35.3,,0.0,,0.0,,0.0,T,0.0,,0.0,,,,,,26953
