Station,Scenario,Model,RMSE,MAE,R2,MAPE
Ottawa Downtown,With Traffic,XGBoost,1.3061,0.9608,0.7626,73.78
Ottawa Downtown,With Traffic,Random Forest,1.3549,1.0247,0.7445,85.49
Ottawa Downtown,With Traffic,GAM,1.6636,1.2868,0.6148,74.52
Ottawa Downtown,With Traffic,Stacking Ensemble,1.9861,1.7195,0.451,158.93
Ottawa Downtown,No Traffic,XGBoost,1.3069,0.9429,0.7623,69.84
Ottawa Downtown,No Traffic,Random Forest,1.3266,1.0055,0.7551,81.15
Ottawa Downtown,No Traffic,GAM,1.6767,1.2971,0.6087,80.51
Ottawa Downtown,No Traffic,Stacking Ensemble,1.9954,1.7415,0.4459,164.5
Sarnia,With Traffic,XGBoost,2.5428,2.0029,0.4804,37.48
Sarnia,With Traffic,Random Forest,2.5567,2.0172,0.4747,39.83
Sarnia,With Traffic,GAM,3.0492,2.3833,0.2529,44.39
Sarnia,With Traffic,Stacking Ensemble,2.846,2.2913,0.3491,47.45
Sarnia,No Traffic,XGBoost,2.4647,1.9217,0.5119,34.96
Sarnia,No Traffic,Random Forest,2.5055,1.9805,0.4956,38.37
Sarnia,No Traffic,GAM,2.8026,2.17,0.3688,38.55
Sarnia,No Traffic,Stacking Ensemble,2.7746,2.2164,0.3814,45.2
Sault Ste. Marie,With Traffic,XGBoost,1.0081,0.728,0.73,32.2
Sault Ste. Marie,With Traffic,Random Forest,1.1344,0.8007,0.6582,36.92
Sault Ste. Marie,With Traffic,GAM,1.1083,0.8086,0.6737,36.91
Sault Ste. Marie,With Traffic,Stacking Ensemble,1.5902,1.3509,0.3282,76.33
Sault Ste. Marie,No Traffic,XGBoost,1.1333,0.7944,0.6588,33.3
Sault Ste. Marie,No Traffic,Random Forest,1.168,0.7881,0.6376,35.26
Sault Ste. Marie,No Traffic,GAM,1.1789,0.8469,0.6308,37.65
Sault Ste. Marie,No Traffic,Stacking Ensemble,1.6497,1.3606,0.277,73.43
Toronto Downtown,With Traffic,XGBoost,3.0099,2.3026,0.5755,20.33
Toronto Downtown,With Traffic,Random Forest,3.1925,2.5427,0.5225,23.2
Toronto Downtown,With Traffic,GAM,4.0006,3.0238,0.2501,27.01
Toronto Downtown,With Traffic,Stacking Ensemble,3.7717,3.1056,0.3335,29.52
Toronto Downtown,No Traffic,XGBoost,3.225,2.4333,0.5127,21.57
Toronto Downtown,No Traffic,Random Forest,3.1028,2.4364,0.5489,22.42
Toronto Downtown,No Traffic,GAM,3.4824,2.671,0.4318,23.55
Toronto Downtown,No Traffic,Stacking Ensemble,4.2611,3.508,0.1493,33.31
Toronto West,With Traffic,XGBoost,2.7061,2.0648,0.6207,19.52
Toronto West,With Traffic,Random Forest,2.8358,2.2474,0.5835,21.66
Toronto West,With Traffic,GAM,9.1472,3.3235,-3.3338,35.48
Toronto West,With Traffic,Stacking Ensemble,3.479,2.9046,0.3731,30.23
Toronto West,No Traffic,XGBoost,2.7491,2.1065,0.6085,19.96
Toronto West,No Traffic,Random Forest,2.7787,2.2004,0.6001,21.37
Toronto West,No Traffic,GAM,8.982,3.2419,-3.1786,34.7
Toronto West,No Traffic,Stacking Ensemble,3.5279,3.0062,0.3553,31.32
