Station,Scenario,GAM,Random Forest,Stacking Ensemble,XGBoost
Ottawa Downtown,No Traffic,1.6767,1.3266,1.9954,1.3069
Ottawa Downtown,With Traffic,1.6636,1.3549,1.9861,1.3061
Sarnia,No Traffic,2.7748,2.5165,2.6612,2.3788
Sarnia,With Traffic,2.8149,2.5019,2.7491,2.4103
Sault Ste. Marie,No Traffic,1.1789,1.168,1.6497,1.1333
Sault Ste. Marie,With Traffic,1.1083,1.1344,1.5902,1.0081
Toronto Downtown,No Traffic,3.4824,3.1028,4.2611,3.225
Toronto Downtown,With Traffic,4.0006,3.1925,3.7717,3.0099
Toronto West,No Traffic,8.982,2.7787,3.5279,2.7491
Toronto West,With Traffic,9.1472,2.8358,3.479,2.7061
